CommonCoreID	CommonCoreDescription	Subject	Grade	SkillsArea	SkillCluster	SkillNumber	SkillName	CareerRelevance
HSA-APR.B.2	Know and apply the Remainder Theorem	Math	11	Algebra	Polynomial Arithmetic	HSA-APR.B.2	Remainder Theorem	Computer Science,Engineering,Mathematics
HSA-APR.B.3	Identify zeros of polynomials and use them to construct rough graph	Math	11	Algebra	Polynomial Arithmetic	HSA-APR.B.3	Polynomial zeros	Engineering,Physics,Computer Graphics,Economics
HSA-APR.C.4	Prove polynomial identities and use them to describe numerical relationships	Math	11	Algebra	Polynomial Arithmetic	HSA-APR.C.4	Polynomial identities	Mathematics,Computer Science,Cryptography
HSA-APR.C.5	Know and apply the Binomial Theorem	Math	11	Algebra	Polynomial Arithmetic	HSA-APR.C.5	Binomial Theorem	Statistics,Probability,Finance,Computer Science
HSA-APR.D.6	Rewrite simple rational expressions in different forms	Math	11	Algebra	Polynomial Arithmetic	HSA-APR.D.6	Rational expressions	Engineering,Physics,Electronics
HSA-APR.D.7	Understand that rational expressions form a system analogous to rational numbers	Math	12	Algebra	Polynomial Arithmetic	HSA-APR.D.7	Rational expression system	Advanced Mathematics,Engineering
HSA-CED.A.1	Create equations and inequalities in one variable and use them to solve problems	Math	9	Algebra	Creating Equations	HSA-CED.A.1	One-variable equations	Business,Economics,Engineering,Science,Finance
HSA-CED.A.2	Create equations in two or more variables to represent relationships	Math	9	Algebra	Creating Equations	HSA-CED.A.2	Multi-variable equations	Data Science,Economics,Physics,Engineering,Research
HSA-CED.A.3	Represent constraints by equations or inequalities and by systems	Math	10	Algebra	Creating Equations	HSA-CED.A.3	Constraint representation	Operations Research,Economics,Business Analytics,Engineering
HSA-CED.A.4	Rearrange formulas to highlight a quantity of interest	Math	9	Algebra	Creating Equations	HSA-CED.A.4	Formula manipulation	Physics,Chemistry,Engineering,Finance
HSA-REI.A.1	Explain each step in solving a simple equation	Math	9	Algebra	Reasoning with Equations	HSA-REI.A.1	Explain solution steps	Teaching,Technical Writing,Quality Assurance,Auditing
HSA-REI.A.2	Solve simple rational and radical equations in one variable	Math	11	Algebra	Reasoning with Equations	HSA-REI.A.2	Rational and radical equations	Engineering,Physics,Chemistry
HSA-REI.B.3	Solve linear equations and inequalities in one variable	Math	9	Algebra	Reasoning with Equations	HSA-REI.B.3	Linear equations	All STEM fields,Business,Finance
HSA-REI.B.4	Solve quadratic equations in one variable	Math	10	Algebra	Reasoning with Equations	HSA-REI.B.4	Quadratic equations	Engineering,Physics,Computer Graphics,Economics
HSA-REI.B.4.a	Use the method of completing the square	Math	10	Algebra	Reasoning with Equations	HSA-REI.B.4.a	Completing square method	Engineering,Physics,Optimization
HSA-REI.B.4.b	Solve quadratic equations using the quadratic formula	Math	10	Algebra	Reasoning with Equations	HSA-REI.B.4.b	Quadratic formula	Engineering,Physics,Computer Science
HSA-REI.C.5	Prove that given a system of two equations, replacing one equation creates equivalent system	Math	10	Algebra	Reasoning with Equations	HSA-REI.C.5	System equivalence	Mathematics,Computer Science,Logic
HSA-REI.C.6	Solve systems of linear equations exactly and approximately	Math	10	Algebra	Reasoning with Equations	HSA-REI.C.6	Linear systems	Engineering,Economics,Data Science,Operations Research
HSA-REI.C.7	Solve a simple system consisting of a linear and quadratic equation	Math	11	Algebra	Reasoning with Equations	HSA-REI.C.7	Mixed systems	Engineering,Physics,Computer Graphics
HSA-REI.C.8	Represent a system of linear equations as a single matrix equation	Math	12	Algebra	Reasoning with Equations	HSA-REI.C.8	Matrix equations	Computer Science,Engineering,Data Science,Machine Learning
HSA-REI.C.9	Find the inverse of a matrix if it exists	Math	12	Algebra	Reasoning with Equations	HSA-REI.C.9	Matrix inverse	Computer Graphics,Engineering,Cryptography,Data Science
HSA-REI.D.10	Understand that the graph of an equation is the set of all its solutions	Math	9	Algebra	Reasoning with Equations	HSA-REI.D.10	Graphical solutions	All fields using data visualization
HSA-REI.D.11	Explain why x-coordinates of intersection points give solutions	Math	10	Algebra	Reasoning with Equations	HSA-REI.D.11	Intersection solutions	Engineering,Economics,Computer Graphics
HSA-REI.D.12	Graph the solutions to a linear inequality in two variables	Math	9	Algebra	Reasoning with Equations	HSA-REI.D.12	Inequality graphs	Economics,Operations Research,Business Analytics
HSF-IF.A.1	Understand that a function assigns exactly one output to each input	Math	9	Functions	Interpreting Functions	HSF-IF.A.1	Function definition	Programming,Database Design,Systems Analysis,Machine Learning
HSF-IF.A.2	Use function notation, evaluate functions for inputs in their domains	Math	9	Functions	Interpreting Functions	HSF-IF.A.2	Function notation	Programming,Mathematics,Engineering,Data Science
HSF-IF.A.3	Recognize that sequences are functions	Math	10	Functions	Interpreting Functions	HSF-IF.A.3	Sequences as functions	Computer Science,Mathematics,Finance
HSF-IF.B.4	For a function that models a relationship, interpret key features of graphs	Math	9	Functions	Interpreting Functions	HSF-IF.B.4	Graph interpretation	Data Analysis,Economics,Environmental Science,Market Research
HSF-IF.B.5	Relate the domain of a function to its graph and to quantitative relationship	Math	10	Functions	Interpreting Functions	HSF-IF.B.5	Domain and range	Engineering,Computer Science,Data Analysis
HSF-IF.B.6	Calculate and interpret average rate of change	Math	10	Functions	Interpreting Functions	HSF-IF.B.6	Rate of change	Economics,Physics,Environmental Science,Finance
HSF-IF.C.7	Graph functions expressed symbolically and show key features	Math	10	Functions	Interpreting Functions	HSF-IF.C.7	Function graphing	Engineering,Science,Economics,Data Visualization
HSF-IF.C.7.a	Graph linear and quadratic functions	Math	9	Functions	Interpreting Functions	HSF-IF.C.7.a	Linear and quadratic graphs	All STEM fields,Economics,Business
HSF-IF.C.7.b	Graph square root, cube root, and piecewise functions	Math	10	Functions	Interpreting Functions	HSF-IF.C.7.b	Root and piecewise graphs	Engineering,Computer Science,Physics
HSF-IF.C.7.c	Graph polynomial functions	Math	11	Functions	Interpreting Functions	HSF-IF.C.7.c	Polynomial graphs	Engineering,Physics,Economics
HSF-IF.C.7.d	Graph rational functions	Math	11	Functions	Interpreting Functions	HSF-IF.C.7.d	Rational graphs	Engineering,Electronics,Physics
HSF-IF.C.7.e	Graph exponential and logarithmic functions	Math	11	Functions	Interpreting Functions	HSF-IF.C.7.e	Exponential and log graphs	Finance,Biology,Chemistry,Computer Science
HSF-IF.C.8	Write a function defined by expression in different but equivalent forms	Math	10	Functions	Interpreting Functions	HSF-IF.C.8	Function forms	Engineering,Computer Science,Mathematics
HSF-IF.C.8.a	Use factoring and completing square for quadratics	Math	10	Functions	Interpreting Functions	HSF-IF.C.8.a	Quadratic forms	Engineering,Physics,Optimization
HSF-IF.C.8.b	Use properties of exponents for exponentials	Math	11	Functions	Interpreting Functions	HSF-IF.C.8.b	Exponential properties	Finance,Biology,Physics,Chemistry
HSF-IF.C.9	Compare properties of two functions represented differently	Math	10	Functions	Interpreting Functions	HSF-IF.C.9	Function comparison	Data Analysis,Economics,Research
HSF-BF.A.1	Write a function that describes a relationship between two quantities	Math	9	Functions	Building Functions	HSF-BF.A.1	Function modeling	Software Development,Financial Modeling,Scientific Research,Engineering
HSF-BF.A.1.a	Determine an explicit expression or recursive process	Math	10	Functions	Building Functions	HSF-BF.A.1.a	Explicit and recursive	Computer Science,Mathematics,Finance
HSF-BF.A.1.b	Combine standard function types using arithmetic operations	Math	10	Functions	Building Functions	HSF-BF.A.1.b	Function combinations	Engineering,Physics,Economics
HSF-BF.A.1.c	Compose functions	Math	11	Functions	Building Functions	HSF-BF.A.1.c	Function composition	Computer Science,Mathematics,Engineering
HSF-BF.A.2	Write arithmetic and geometric sequences recursively and explicitly	Math	10	Functions	Building Functions	HSF-BF.A.2	Sequence formulas	Finance,Computer Science,Mathematics
HSF-BF.B.3	Identify the effect on graph of replacing f(x) with f(x)+k, kf(x), f(kx), f(x+k)	Math	10	Functions	Building Functions	HSF-BF.B.3	Function transformations	Computer Graphics,Engineering,Animation,Physics
HSF-BF.B.4	Find inverse functions	Math	11	Functions	Building Functions	HSF-BF.B.4	Inverse functions	Cryptography,Engineering,Computer Science,Mathematics
HSF-BF.B.4.a	Solve an equation f(x)=c by finding inverse	Math	11	Functions	Building Functions	HSF-BF.B.4.a	Solve using inverse	Engineering,Physics,Chemistry
HSF-BF.B.5	Understand the inverse relationship between exponents and logarithms	Math	11	Functions	Building Functions	HSF-BF.B.5	Exponents and logarithms	Computer Science,Engineering,Finance,Science
HSF-LE.A.1	Distinguish between situations modeled with linear vs exponential functions	Math	9	Functions	Linear and Exponential	HSF-LE.A.1	Linear vs exponential	Finance,Biology,Economics,Population Studies,Marketing
HSF-LE.A.1.a	Prove linear functions grow by equal differences	Math	9	Functions	Linear and Exponential	HSF-LE.A.1.a	Linear growth	Economics,Business,Science
HSF-LE.A.1.b	Prove exponential functions grow by equal factors	Math	9	Functions	Linear and Exponential	HSF-LE.A.1.b	Exponential growth	Finance,Biology,Chemistry,Marketing
HSF-LE.A.1.c	Recognize situations where quantity grows by constant percent rate	Math	10	Functions	Linear and Exponential	HSF-LE.A.1.c	Percent growth	Finance,Economics,Business,Investment
HSF-LE.A.2	Construct linear and exponential functions from graph, table, or description	Math	10	Functions	Linear and Exponential	HSF-LE.A.2	Construct functions	Data Analysis,Economics,Science,Business
HSF-LE.A.3	Observe that exponential quantity increases by constant percent rate	Math	10	Functions	Linear and Exponential	HSF-LE.A.3	Exponential patterns	Finance,Biology,Chemistry,Economics
HSF-LE.A.4	Express exponential models as logarithms to solve problems	Math	11	Functions	Linear and Exponential	HSF-LE.A.4	Logarithmic solutions	Science,Engineering,Finance,Medicine
HSF-LE.B.5	Interpret parameters in linear or exponential function in context	Math	10	Functions	Linear and Exponential	HSF-LE.B.5	Parameter interpretation	Economics,Science,Business,Research
HSF-TF.A.1	Understand radian measure of an angle	Math	11	Functions	Trigonometric Functions	HSF-TF.A.1	Radian measure	Engineering,Physics,Architecture,Navigation,Astronomy
HSF-TF.A.2	Explain how unit circle enables extension of trig functions to all reals	Math	11	Functions	Trigonometric Functions	HSF-TF.A.2	Unit circle	Engineering,Physics,Computer Graphics,Signal Processing
HSF-TF.A.3	Use special triangles to determine trig values	Math	11	Functions	Trigonometric Functions	HSF-TF.A.3	Special triangles	Engineering,Architecture,Physics,Navigation
HSF-TF.A.4	Use unit circle to explain symmetry and periodicity of trig functions	Math	11	Functions	Trigonometric Functions	HSF-TF.A.4	Trig periodicity	Signal Processing,Engineering,Music,Physics
HSF-TF.B.5	Choose trig functions to model periodic phenomena	Math	12	Functions	Trigonometric Functions	HSF-TF.B.5	Model periodic phenomena	Engineering,Physics,Music,Signal Processing,Astronomy
HSF-TF.B.6	Understand that restricting domain allows inverse trig functions	Math	12	Functions	Trigonometric Functions	HSF-TF.B.6	Inverse trig functions	Engineering,Physics,Computer Graphics,Navigation
HSF-TF.B.7	Use inverse functions to solve trig equations in modeling contexts	Math	12	Functions	Trigonometric Functions	HSF-TF.B.7	Solve trig equations	Engineering,Physics,Navigation,Architecture
HSF-TF.C.8	Prove Pythagorean identity and use to find trig values	Math	11	Functions	Trigonometric Functions	HSF-TF.C.8	Pythagorean identity	Engineering,Physics,Mathematics
HSF-TF.C.9	Prove addition and subtraction formulas for sine, cosine, tangent	Math	12	Functions	Trigonometric Functions	HSF-TF.C.9	Trig formulas	Advanced Mathematics,Physics,Engineering
HSG-CO.A.1	Know precise definitions of angle, circle, perpendicular, parallel	Math	9	Geometry	Congruence	HSG-CO.A.1	Geometric definitions	Architecture,Engineering,Design,Construction,Surveying
HSG-CO.A.2	Represent transformations in the plane	Math	9	Geometry	Congruence	HSG-CO.A.2	Transformations	Computer Graphics,Animation,Game Design,Architecture
HSG-CO.A.3	Describe rotations and reflections that carry a figure onto itself	Math	9	Geometry	Congruence	HSG-CO.A.3	Symmetry	Design,Architecture,Art,Engineering
HSG-CO.A.4	Develop definitions of rotations, reflections, translations	Math	9	Geometry	Congruence	HSG-CO.A.4	Transformation definitions	Computer Graphics,Animation,Game Design
HSG-CO.A.5	Specify sequence of transformations to carry figure onto another	Math	10	Geometry	Congruence	HSG-CO.A.5	Transformation sequences	Animation,Computer Graphics,Robotics
HSG-CO.B.6	Use geometric descriptions of rigid motions	Math	10	Geometry	Congruence	HSG-CO.B.6	Rigid motions	Engineering,Robotics,Animation,Physics
HSG-CO.B.7	Use definition of congruence to show figures are congruent	Math	10	Geometry	Congruence	HSG-CO.B.7	Congruence proofs	Mathematics,Engineering,Architecture
HSG-CO.B.8	Explain how criteria for triangle congruence follow from rigid motions	Math	10	Geometry	Congruence	HSG-CO.B.8	Triangle congruence	Engineering,Architecture,Construction
HSG-CO.C.9	Prove theorems about lines and angles	Math	10	Geometry	Congruence	HSG-CO.C.9	Line and angle theorems	Mathematics,Engineering,Architecture
HSG-CO.C.10	Prove theorems about triangles	Math	10	Geometry	Congruence	HSG-CO.C.10	Triangle theorems	Engineering,Architecture,Physics
HSG-CO.C.11	Prove theorems about parallelograms	Math	10	Geometry	Congruence	HSG-CO.C.11	Parallelogram theorems	Engineering,Architecture,Design
HSG-CO.D.12	Make formal geometric constructions	Math	10	Geometry	Congruence	HSG-CO.D.12	Geometric constructions	Architecture,Engineering,Design,Art
HSG-CO.D.13	Construct inscribed and circumscribed figures	Math	11	Geometry	Congruence	HSG-CO.D.13	Inscribed figures	Engineering,Architecture,Design
HSG-SRT.A.1	Verify experimentally the properties of dilations	Math	10	Geometry	Similarity and Trigonometry	HSG-SRT.A.1	Dilation properties	Computer Graphics,Animation,Architecture,Map Making
HSG-SRT.A.2	Use definition of similarity to decide if figures are similar	Math	10	Geometry	Similarity and Trigonometry	HSG-SRT.A.2	Similarity definition	Architecture,Engineering,Design,Photography
HSG-SRT.A.3	Use properties of similarity transformations to establish AA criterion	Math	10	Geometry	Similarity and Trigonometry	HSG-SRT.A.3	AA similarity	Engineering,Architecture,Surveying
HSG-SRT.B.4	Prove theorems about triangles using similarity	Math	11	Geometry	Similarity and Trigonometry	HSG-SRT.B.4	Similarity theorems	Mathematics,Engineering,Architecture
HSG-SRT.B.5	Use congruence and similarity criteria to solve problems and prove	Math	11	Geometry	Similarity and Trigonometry	HSG-SRT.B.5	Apply similarity	Engineering,Architecture,Design,Construction
HSG-SRT.C.6	Understand that side ratios in right triangles are properties of angles	Math	10	Geometry	Similarity and Trigonometry	HSG-SRT.C.6	Trigonometric ratios	Engineering,Physics,Architecture,Navigation
HSG-SRT.C.7	Explain and use the relationship between sine and cosine of complements	Math	10	Geometry	Similarity and Trigonometry	HSG-SRT.C.7	Complementary angles	Engineering,Physics,Mathematics
HSG-SRT.C.8	Use trigonometric ratios and Pythagorean theorem to solve triangles	Math	10	Geometry	Similarity and Trigonometry	HSG-SRT.C.8	Solve triangles	Engineering,Architecture,Navigation,Surveying
HSG-SRT.D.9	Derive formula for area of triangle	Math	11	Geometry	Similarity and Trigonometry	HSG-SRT.D.9	Triangle area formula	Engineering,Architecture,Construction
HSG-SRT.D.10	Prove Laws of Sines and Cosines	Math	11	Geometry	Similarity and Trigonometry	HSG-SRT.D.10	Law of Sines and Cosines	Navigation,Engineering,Physics,Surveying
HSG-SRT.D.11	Apply Law of Sines and Cosines to find unknown measurements	Math	11	Geometry	Similarity and Trigonometry	HSG-SRT.D.11	Apply trig laws	Engineering,Navigation,Architecture,Astronomy
HSG-C.A.1	Prove all circles are similar	Math	10	Geometry	Circles	HSG-C.A.1	Circle similarity	Mathematics,Engineering,Design
HSG-C.A.2	Identify and describe relationships among inscribed angles, radii, chords	Math	10	Geometry	Circles	HSG-C.A.2	Circle relationships	Engineering,Architecture,Design
HSG-C.A.3	Construct inscribed and circumscribed circles of triangle	Math	11	Geometry	Circles	HSG-C.A.3	Circle constructions	Engineering,Architecture,Design
HSG-C.A.4	Construct tangent line to circle from external point	Math	11	Geometry	Circles	HSG-C.A.4	Tangent construction	Engineering,Design,Architecture
HSG-C.B.5	Derive using similarity that arc length is proportional to radius	Math	11	Geometry	Circles	HSG-C.B.5	Arc length	Engineering,Physics,Architecture
HSG-GPE.A.1	Derive equation of circle given center and radius	Math	10	Geometry	Coordinate Geometry	HSG-GPE.A.1	Circle equations	Computer Graphics,Engineering,Navigation
HSG-GPE.A.2	Derive equation of parabola given focus and directrix	Math	11	Geometry	Coordinate Geometry	HSG-GPE.A.2	Parabola equations	Engineering,Physics,Optics,Architecture
HSG-GPE.A.3	Derive equations of ellipses and hyperbolas	Math	12	Geometry	Coordinate Geometry	HSG-GPE.A.3	Conic sections	Astronomy,Physics,Engineering,Architecture
HSG-GPE.B.4	Use coordinates to prove simple geometric theorems algebraically	Math	10	Geometry	Coordinate Geometry	HSG-GPE.B.4	Coordinate proofs	Mathematics,Computer Science,Engineering
HSG-GPE.B.5	Prove slope criteria for parallel and perpendicular lines	Math	9	Geometry	Coordinate Geometry	HSG-GPE.B.5	Slope relationships	Engineering,Architecture,Computer Graphics
HSG-GPE.B.6	Find point on directed line segment that partitions in given ratio	Math	10	Geometry	Coordinate Geometry	HSG-GPE.B.6	Segment partition	Computer Graphics,Animation,Engineering
HSG-GPE.B.7	Use coordinates to compute perimeters and areas	Math	10	Geometry	Coordinate Geometry	HSG-GPE.B.7	Coordinate measurements	Surveying,Architecture,Engineering,GIS
HSG-GMD.A.1	Give informal argument for formulas for circumference, area, volume	Math	9	Geometry	Geometric Measurement	HSG-GMD.A.1	Measurement formulas	Engineering,Architecture,Manufacturing,Package Design
HSG-GMD.A.2	Give informal argument using Cavalieri's principle	Math	12	Geometry	Geometric Measurement	HSG-GMD.A.2	Cavalieri's principle	Advanced Mathematics,Engineering
HSG-GMD.A.3	Use volume formulas to solve problems	Math	10	Geometry	Geometric Measurement	HSG-GMD.A.3	Volume applications	Engineering,Architecture,Manufacturing,Construction
HSG-GMD.B.4	Identify cross-sections of 3D objects and rotations of 2D objects	Math	10	Geometry	Geometric Measurement	HSG-GMD.B.4	Cross-sections	Engineering,Architecture,Medical Imaging,Manufacturing
HSG-MG.A.1	Use geometric shapes to describe objects	Math	9	Geometry	Modeling with Geometry	HSG-MG.A.1	Geometric modeling	Industrial Design,Architecture,Game Design,3D Modeling
HSG-MG.A.2	Apply concepts of density based on area and volume	Math	10	Geometry	Modeling with Geometry	HSG-MG.A.2	Density modeling	Engineering,Chemistry,Physics,Environmental Science
HSG-MG.A.3	Apply geometric methods to solve design problems	Math	11	Geometry	Modeling with Geometry	HSG-MG.A.3	Design applications	Architecture,Engineering,Industrial Design,Urban Planning
HSS-ID.A.1	Represent data with plots on the real number line	Math	9	Statistics	Interpreting Data	HSS-ID.A.1	Data plots	Data Science,Research,Marketing,Quality Control,Healthcare
HSS-ID.A.2	Use statistics to compare center and spread of two data sets	Math	9	Statistics	Interpreting Data	HSS-ID.A.2	Compare distributions	Research,Quality Control,Business Analytics,Medicine
HSS-ID.A.3	Interpret differences in shape, center, spread in context	Math	10	Statistics	Interpreting Data	HSS-ID.A.3	Interpret distributions	Data Science,Marketing,Research,Healthcare
HSS-ID.A.4	Use mean and standard deviation to compare data sets	Math	10	Statistics	Interpreting Data	HSS-ID.A.4	Mean and standard deviation	Quality Control,Research,Finance,Healthcare
HSS-ID.B.5	Summarize categorical data in two-way frequency tables	Math	10	Statistics	Interpreting Data	HSS-ID.B.5	Two-way tables	Research,Marketing,Healthcare,Social Sciences
HSS-ID.B.6	Represent data on two quantitative variables on scatter plot	Math	9	Statistics	Interpreting Data	HSS-ID.B.6	Scatter plots	Scientific Research,Economics,Environmental Science,Sports Analytics
HSS-ID.B.6.a	Fit a function to data	Math	10	Statistics	Interpreting Data	HSS-ID.B.6.a	Function fitting	Data Science,Research,Engineering,Economics
HSS-ID.B.6.b	Assess fit of function by analyzing residuals	Math	11	Statistics	Interpreting Data	HSS-ID.B.6.b	Residual analysis	Statistics,Research,Quality Control,Data Science
HSS-ID.B.6.c	Fit linear function for scatter plot suggesting linear association	Math	10	Statistics	Interpreting Data	HSS-ID.B.6.c	Linear regression	Economics,Research,Business Analytics,Science
HSS-ID.C.7	Interpret slope and intercept of linear model in context	Math	10	Statistics	Interpreting Data	HSS-ID.C.7	Linear model interpretation	Economics,Business,Research,Environmental Science
HSS-ID.C.8	Compute and interpret correlation coefficient for linear fit	Math	11	Statistics	Interpreting Data	HSS-ID.C.8	Correlation coefficient	Research,Psychology,Economics,Medicine
HSS-ID.C.9	Distinguish between correlation and causation	Math	10	Statistics	Interpreting Data	HSS-ID.C.9	Correlation vs causation	Research,Medicine,Social Sciences,Data Science
HSS-IC.A.1	Understand statistics as process for making inferences	Math	11	Statistics	Making Inferences	HSS-IC.A.1	Statistical inference	Medical Research,Market Research,Quality Assurance,Psychology
HSS-IC.A.2	Decide if model is consistent with results from data-generating process	Math	11	Statistics	Making Inferences	HSS-IC.A.2	Model validation	Research,Data Science,Quality Control,Engineering
HSS-IC.B.3	Recognize purposes and differences in sample surveys, experiments	Math	11	Statistics	Making Inferences	HSS-IC.B.3	Study design	Research,Marketing,Medicine,Social Sciences
HSS-IC.B.4	Use data from sample survey to estimate population mean	Math	11	Statistics	Making Inferences	HSS-IC.B.4	Population estimates	Marketing,Political Polling,Research,Quality Control
HSS-IC.B.5	Use data from randomized experiment to compare treatments	Math	12	Statistics	Making Inferences	HSS-IC.B.5	Treatment comparison	Medical Research,Agriculture,Product Development
HSS-IC.B.6	Evaluate reports based on data	Math	11	Statistics	Making Inferences	HSS-IC.B.6	Evaluate reports	Journalism,Research,Policy Analysis,Business Intelligence
HSS-CP.A.1	Describe events as subsets of sample space	Math	10	Statistics	Conditional Probability	HSS-CP.A.1	Event descriptions	Insurance,Risk Management,Game Design,Finance,Healthcare
HSS-CP.A.2	Understand independence and conditional probability	Math	11	Statistics	Conditional Probability	HSS-CP.A.2	Independence	Statistics,Risk Assessment,Insurance,Finance
HSS-CP.A.3	Understand conditional probability of A given B	Math	11	Statistics	Conditional Probability	HSS-CP.A.3	Conditional probability	Medical Testing,Insurance,Risk Management,Finance
HSS-CP.A.4	Construct and interpret two-way frequency tables	Math	10	Statistics	Conditional Probability	HSS-CP.A.4	Frequency tables	Research,Marketing,Healthcare,Quality Control
HSS-CP.A.5	Recognize and explain conditional probability and independence	Math	11	Statistics	Conditional Probability	HSS-CP.A.5	Probability concepts	Insurance,Finance,Medical Research,Risk Management
